name,birthday,nationality
Robert De Niro,1943-08-17,USA
Morgan Freeman,1937-06-01,USA
Brad Pitt,1963-12-18,USA
Tom Hanks,1956-07-09,USA
Denzel Washington,1954-12-28,USA
Johnny Depp,1963-06-09,USA
Al Pacino,1940-04-25,USA
Christian Bale,1974-01-30,USA
Matthew McConaughey,1969-11-04,USA
Hugh Jackman,1968-10-12,USA
Joaquin Phoenix,1974-10-28,USA
Will Smith,1968-09-25,USA
Keanu Reeves,1964-09-02,USA
Anthony Hopkins,1937-12-31,USA
Edward Norton,1969-08-18,USA
Daniel Day-Lewis,1957-04-29,USA
Chris Hemsworth,1983-08-11,USA
Matt Damon,1970-10-08,USA
Benedict Cumberbatch,1976-07-19,USA
Liam Neeson,1952-06-07,USA
Russell Crowe,1964-04-07,USA
Jake Gyllenhaal,1980-12-19,USA
Tom Hardy,1977-09-15,USA
Samuel L. Jackson,1948-12-21,USA
Sean Penn,1960-08-17,USA
Christoph Waltz,1956-10-04,USA
Javier Bardem,1969-03-01,USA
Mark Ruffalo,1967-11-22,USA
Viggo Mortensen,1958-10-20,USA
Idris Elba,1972-09-06,USA
Jeff Bridges,1949-12-04,USA
Ryan Reynolds,1976-10-23,USA
Colin Farrell,1976-05-31,USA
Michael Fassbender,1977-04-02,USA
Jeremy Renner,1971-01-07,USA
Josh Brolin,1968-02-12,USA
Adrien Brody,1973-04-14,USA
Ben Affleck,1972-08-15,USA
Ewan McGregor,1971-03-31,USA
Woody Harrelson,1961-07-23,USA
Kenneth Branagh,1960-12-10,USA
Chris Evans,1981-06-13,USA
Steve Carell,1962-08-16,USA
Ryan Gosling,1980-11-12,USA
Jamie Foxx,1967-12-13,USA
Hugh Grant,1960-09-09,USA
Robert Pattinson,1986-05-13,USA
Paul Rudd,1969-04-06,USA
Chiwetel Ejiofor,1977-07-10,USA
Wagner Moura,1976-06-27,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Tony Ramos,1948-08-25,BRAZIL
Cauã Reymond,1980-05-20,BRAZIL
Matheus Nachtergaele,1968-01-03,BRAZIL
Murilo Benício,1971-07-13,BRAZIL
Fábio Assunção,1971-08-10,BRAZIL
Antônio Fagundes,1949-04-18,BRAZIL
José Wilker,1944-08-20,BRAZIL
Marcelo Serrado,1967-02-10,BRAZIL
Bruno Gagliasso,1982-04-13,BRAZIL
Marco Nanini,1948-05-31,BRAZIL
Tarcísio Meira,1935-10-05,BRAZIL
Alexandre Nero,1970-02-13,BRAZIL
Irandhir Santos,1978-08-22,BRAZIL
José de Abreu,1946-05-24,BRAZIL
Chay Suede,1992-06-30,BRAZIL
Thiago Lacerda,1978-01-19,BRAZIL
Reynaldo Gianecchini,1972-11-12,BRAZIL
Eduardo Moscovis,1968-06-08,BRAZIL
Marcelo Mello Jr.,1987-02-26,BRAZIL
João Miguel,1970-01-01,BRAZIL
Milton Gonçalves,1933-12-09,BRAZIL
Luiz Carlos Vasconcelos,1954-06-25,BRAZIL
Domingos Montagner,1962-02-26,BRAZIL
Jesuíta Barbosa,1991-07-26,BRAZIL
Matheus Solano,1981-03-20,BRAZIL
Rafael Cardoso,1985-11-17,BRAZIL
Humberto Martins,1961-04-14,BRAZIL
Marcos Palmeira,1963-08-19,BRAZIL
Caio Castro,1989-01-22,BRAZIL
Marcelo Novaes,1962-08-13,BRAZIL
José Mayer,1949-10-03,BRAZIL
Paulo Gustavo,1978-10-30,BRAZIL
Lúcio Mauro Filho,1974-06-18,BRAZIL
Bruno Mazzeo,1977-05-03,BRAZIL
Otávio Müller,1965-08-06,BRAZIL
Vladimir Brichta,1976-03-22,BRAZIL
Gabriel Leone,1993-07-21,BRAZIL
Rafael Infante,1985-09-23,BRAZIL
Sérgio Guizé,1980-05-14,BRAZIL
Daniel de Oliveira,1977-06-19,BRAZIL
Caio Blat,1980-06-02,BRAZIL
Guilherme Weber,1972-05-06,BRAZIL
Tarcísio Filho,1964-08-22,BRAZIL
Marcelo Adnet,1981-09-05,BRAZIL
Murilo Rosa,1970-08-21,BRAZIL
Emílio Dantas,1982-11-29,BRAZIL
